                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4439,                 1.3416,                 1.2496,                0.49749,                0.28991,                0.33562,                0.12294,                 2.4769,                 1.3818,                 1.2762,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.4286,                 1.3184,                 1.2377,                0.50064,                0.28433,                0.33417,                0.12354,                 2.4595,                 1.3817,                 1.2857,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.4081,                 1.3111,                 1.2297,                0.49758,                0.29454,                 0.3411,                0.12686,                 2.4638,                 1.3781,                  1.272,               0.000614,               0.000614,               0.000614
                     37,                 2.4131,                 1.3099,                 1.2233,                0.50056,                0.28917,                0.33726,                0.12383,                 2.4779,                 1.3737,                  1.274,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.3956,                 1.3131,                 1.2392,                0.50484,                0.28712,                0.33879,                0.12631,                 2.4538,                 1.3597,                 1.2737,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.3825,                 1.3136,                 1.2377,                0.51525,                0.28819,                0.34052,                0.12482,                 2.4663,                   1.36,                 1.2845,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.3939,                 1.3019,                 1.2256,                0.50887,                0.29266,                0.34396,                0.12695,                 2.4486,                 1.3591,                 1.2739,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.3907,                 1.3311,                 1.2548,                0.50678,                0.29235,                 0.3419,                0.12692,                 2.4492,                 1.3697,                 1.2673,               0.000416,               0.000416,               0.000416
                     42,                 2.3736,                 1.3201,                 1.2534,                0.51235,                0.29449,                0.34706,                0.12896,                  2.449,                 1.3511,                 1.2627,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.3589,                 1.3008,                 1.2447,                0.51166,                0.29103,                0.34237,                 0.1268,                 2.4559,                 1.3624,                 1.2737,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.3657,                 1.3101,                 1.2519,                0.50651,                0.29436,                0.34554,                0.12813,                 2.4476,                 1.3527,                  1.267,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.3597,                 1.3014,                 1.2455,                0.51369,                0.29457,                0.34793,                0.12983,                 2.4445,                 1.3467,                 1.2615,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.3544,                 1.3026,                 1.2432,                0.51353,                0.29607,                0.34908,                0.13016,                 2.4379,                 1.3449,                 1.2608,               0.000218,               0.000218,               0.000218
                     47,                 2.3466,                 1.2848,                 1.2254,                0.51858,                0.29679,                0.35154,                0.13087,                 2.4367,                 1.3354,                 1.2636,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.3266,                 1.2736,                 1.2336,                0.52677,                0.29262,                 0.3489,                0.13005,                 2.4481,                 1.3401,                 1.2682,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.3246,                 1.2757,                 1.2337,                0.52281,                0.29811,                0.35147,                0.13109,                 2.4392,                 1.3321,                 1.2656,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.3287,                 1.2694,                 1.2225,                0.52126,                0.29585,                0.35044,                 0.1308,                 2.4394,                 1.3309,                 1.2641,               5.96e-05,               5.96e-05,               5.96e-05
